name,logo,slug,createdDate,opensea,floorPrice,totalVolume,totalSupply,numOwners,marketCap,hasReport,testResult
Neo Tokyo Part 2 Vault Cards,https://lh3.googleusercontent.com/fmy3rZQgswpkd5TV3QWl66JG3SvIPGhWDtHr3dKKi15EAUb96k-lKFsi0amKXyJv9Lh7xnDBHG0Btq--bIorfDfL0dJ39RVQYofU=s120,neo-tokyo-part-2-vault-cards,2021-10-16T15:03:53.111331,https://opensea.io/collection/neo-tokyo-part-2-vault-cards,7.5,2367,2500,2157,23948.61691059146,true,collections24.md#neo-tokyo-part-2-vault-cards
Sad Frogs District,https://lh3.googleusercontent.com/o8ap7l9W8lRoUMHdqs-4Ld76PEVnnbFWEC1IL3NQgva37fXK2lWjaRzw67IhZUJ9_FiHoSC1K-0eLNwo5JdGrMNQDTeLR6hKlwg9hxU=s120,sad-frogs-district,2021-08-09T17:29:33.186390,https://opensea.io/collection/sad-frogs-district,0.009,2319,6993,2127,122.3775,true,collections24.md#sad-frogs-district
Crypto Hobos,https://lh3.googleusercontent.com/VLkOkaJ9QuVwHahQqHUrI5ZDVEqNBLCK_xEnMv4rBZ7kciwtlj_klhcwmvi5mM77hn5uSS10uVZH_9uNjkwpshppFhmNFc3a-r3YMuI=s120,crypto-hobos,2021-09-19T21:48:59.898680,https://opensea.io/collection/crypto-hobos,0.04,2317,7981,3115,996.1884200000001,true,collections24.md#crypto-hobos
Chill Frogs NFT,https://lh3.googleusercontent.com/uloW1vjC1r-cCyJ1wEHkj_hmpiYDw9XfOTYQNoWrvmxIYQIId6y077mQBM3ew_nAfhalxnFVmqCt8odRjUIqyICjOKe7WR9aKans=s120,chill-frogs,2021-08-23T15:30:52.263544,https://opensea.io/collection/chill-frogs,0.125,2284,6000,2484,1284.2380487804878,true,collections24.md#chill-frogs-nft
Wrapped Strikers,https://lh3.googleusercontent.com/XDCwhjzXKj9e8eKtBj5BvO73G30vAoLBFS52wt84ak__sbJCI2FKB673mgWmJrrNkcIN2bVxZBAcURjaTbXqDSk1V0cKn6_Ywl9mHQ=s120,wrapped-strikers,2021-06-27T17:24:29.614207,https://opensea.io/collection/wrapped-strikers,0.1269,2270,3274,771,3271.2716666666665,true,collections24.md#wrapped-strikers
EulerBeats Genesis,https://lh3.googleusercontent.com/r-O1VIujQxmtqT9jKeun3jXwvuHyWjNJopRiYYWkHzSHQoiVPTPi1vkZqhhY5WGPe35U6HDM7gf6XZ20myxJ8MMvuNW5L0D8bqv_=s120,eulerbeats,2021-02-15T17:57:16.346093,https://opensea.io/collection/eulerbeats,1.6,2205,54,503,56.6973,true,collections24.md#eulerbeats-genesis
VOID - Visitors of Imma Degen,https://lh3.googleusercontent.com/ykrl73bgMzN8pfYhpTf2g2ayRHBQ-8Ga8pQyjSk06QUXk2DArZhkOfl-dIf3S2PjofZ4i5igYtp4pXJDZFomLSMphwf6Jdbsoj0NoA=s120,visitors-of-imma-degen,2021-07-02T16:34:57.837070,https://opensea.io/collection/visitors-of-imma-degen,0.078,2186,9999,2591,1349.64478845467,true,collections24.md#void---visitors-of-imma-degen
Pulsquares by Arihz,https://lh3.googleusercontent.com/xxj91bWuZtTnnFG0jd68qyES40-92qUQb7Egu8ue2ezDuUC8aWXPodgMxjODra0ea98smBZzAjDt4dW6wbg1m4o2rIFUU7uw41oTEQ=s120,pulsquares,2021-05-14T00:54:48.361338,https://opensea.io/collection/pulsquares,,2158,473,162,1731.18,true,collections24.md#pulsquares-by-arihz
GOATz,https://lh3.googleusercontent.com/PNhM3guU1avuFnI1r39kG8uzxCWV2SneyJ6YEk2VbyPju5rvCaerfICixQpVG0gi4Is4d8bnhVLIpgMg8k2ph43Z0MLYl4MefpD2qA=s120,maisondegoat,2021-07-08T21:58:02.244433,https://opensea.io/collection/maisondegoat,,2136,7973,2851,1564.0971016626308,true,collections24.md#goatz
Colorglyphs,https://lh3.googleusercontent.com/_qVcbehSf6EsqnxpFhXyCm6R1X38AOBfhbq3-y3wZjooZGb9qEXYt177QMNfCqnq0LW9nOvUNSOyBQNfVihyySOIbg=s60,colorglyphs,2019-12-11T17:36:55.841986,https://opensea.io/collection/colorglyphs,,2127,520,150,0,true,collections24.md#colorglyphs
BYOPills,https://lh3.googleusercontent.com/zhCC9jZrj9037Ex59PZBS1ABu8wAhWc-K-VkaTN5QRM2lfi-8e2e93VJvXO6iXZlbGzxpNQ4TRAK9aNrN61E8wp5C7zA5qjWyozm3w=s120,byopills,2021-07-16T12:06:51.781899,https://opensea.io/collection/byopills,0.179,2100,9997,3494,3575.1193774491735,true,collections24.md#byopills
JunkYardDogs,https://lh3.googleusercontent.com/Ftir8Jf63amGLOQtKV8igHT9in4ve5hDano0D1XlxMA89Hoj9ofQa9r1kn5VhQWYjLFzkK5KQ4nrU1prLfLm5pBXcD8Ob8uOi1u0uig=s120,junkyarddogs,2021-08-09T23:03:37.696920,https://opensea.io/collection/junkyarddogs,0.04,2091,7976,3326,692.6342448,true,collections24.md#junkyarddogs
SympathyForTheDevils,https://lh3.googleusercontent.com/YYDM26Oyjk11vCXVqFuvtRIuqQq4TVwQ47DUAc7mOGXEQiajTl1YAEx1vwBploXI_AbFg7K34fEWshTeRf0J7WJNYroE86hocxJF75I=s120,sympathyforthedevils,2021-08-14T12:11:37.376767,https://opensea.io/collection/sympathyforthedevils,0.053,2080,5819,2730,752.606184,true,collections24.md#sympathyforthedevils
Town Star,https://lh3.googleusercontent.com/wp7V1K4Ezhi8yHU6LFpff-GMsjend65nRiwNz5pGAjCwk7ybznEpfUvXiIxQoOWBmeN00AGjVTRhLUqY4fee1fus=s120,town-star,2020-07-07T04:21:17.383133,https://opensea.io/collection/town-star,0.00006033,2070,282,20358,92.60087739731486,true,collections24.md#town-star
RTFKT x JeffStaple,https://lh3.googleusercontent.com/GI7544nzneZOLVmngy8gSJYhrLSnPdpfryTw20APrXhVXt3JbqnrHca42YJWlfq9DuDGcQF0SFzj4SyhnSpg19Uj0ABM1pLfJ5_4nA=s120,rtfkt-x-jeffstaple,2021-05-06T19:00:39.488026,https://opensea.io/collection/rtfkt-x-jeffstaple,13.9,2064,802,510,12190.4,true,collections24.md#rtfkt-x-jeffstaple
KingFrogs,https://lh3.googleusercontent.com/uBwep3oU7wIZ2PX7e_b_ArkG_la9X41qc3_1FYG0tepeyL-RWHgcOmTI2_IJ9mfuVyiOlerpgs4mfin-rBfQG_6LcmKtsCiOyzu-oQ=s120,kingfrogs,2021-09-30T07:46:25.077709,https://opensea.io/collection/kingfrogs,0.087,2064,17999,5301,3017.519145229082,true,collections24.md#kingfrogs
The Alien Boy,https://lh3.googleusercontent.com/mnNWlPXlDTp8N1JP2kiCrTy-w0lGU0S1AX5sMm0ZhWjSTpIh4RTwXERNjz83aKI1uKjyqf8yZJlsId6TeUgvJRhwaWScJPdWZSlISJc=s120,thealienboy,2021-06-12T15:25:08.677741,https://opensea.io/collection/thealienboy,0.059,2052,10000,3607,837.8000000000001,true,collections24.md#the-alien-boy
Solvency by Ezra Miller,https://lh3.googleusercontent.com/rTiCrE1Dg_jcsVY4vdBHFxSt1j63mW0a9nio4EbUZquk4YAPcwyfBYYELlR3mXqqIZmkzlxbpJIT6nb9zuVAF84Z_H9UnzgoUTRTTw=s120,solvency-by-ezra-miller,2021-04-19T20:55:09.883020,https://opensea.io/collection/solvency-by-ezra-miller,7.5,2042,500,251,4000,true,collections24.md#solvency-by-ezra-miller
OG:Crystals,https://lh3.googleusercontent.com/PaM_tFDNK4SBoo73VtX2mjqtb5pG1jbcioMW2CUntcFbY8aA1l1vhAKOn7jYlykkuk7JLCZFvPo7vbiN7xotzQUYab18i4tl1Wk3_A=s120,og-crystals,2021-10-14T02:47:29.060220,https://opensea.io/collection/og-crystals,0.09,2032,10301,3768,1877.9210177743971,true,collections24.md#og:crystals
Crypto Pills by Micha Klein,https://lh3.googleusercontent.com/EOx2w7rjI04F2TsPhw_1gzA0TyM-Ssrn18wwZhb8-71jLfJIBYAvlv2bltEZWPV8sIsPACGGmtK6bmIDOWLUEdJ2H0Opm5G9n9OC-Q=s120,crypto-pills-by-micha-klein,2021-08-26T23:26:26.528620,https://opensea.io/collection/crypto-pills-by-micha-klein,0.1,2032,9999,2229,1354.2696053925026,true,collections24.md#crypto-pills-by-micha-klein
Chiptos,https://lh3.googleusercontent.com/TtBoKb-Qp6exyyOJr8IFE3vn28L10qdR2qnyL0o4laF1yeenlIXOBHY7aF_4QwNzdTY781XjWtSk2RsH6gqbXUvlgTtc1G9oBE2T=s120,chiptos,2021-08-20T20:48:51.933942,https://opensea.io/collection/chiptos,,2031,512,290,510.7712,true,collections24.md#chiptos
MegaCryptoPolis,https://lh3.googleusercontent.com/OBW6ndpdiJuU1ZW_N1WsF60c1Q-6TANtp33VS8HVyCvz-yvh3CUTDhNBG0PLcQXAhxg33fsBXB1DXS-uU7X1H9uxng=s60,megacryptopolis,2019-06-25T03:52:24.508387,https://opensea.io/collection/megacryptopolis,0.0,2026,89474,23871,4066.096222222222,true,collections24.md#megacryptopolis
EulerBeats Enigma,https://lh3.googleusercontent.com/wGLWEIFEO5GANc93z7yJMajxLnvvkfSsVg3M0evrd-eCnmiK2dyQnBIXaiTn0ImATw4-2WKyTWm79g9F4MUO9eewF4WiXeMJXTnL=s120,eulerbeats-enigma,2021-03-24T20:05:52.728728,https://opensea.io/collection/eulerbeats-enigma,,2010,54,125,93.96,true,collections24.md#eulerbeats-enigma
Brave Frontier Heroes,https://lh3.googleusercontent.com/Kh5NpTBiX68DE1pQyvqUGQqmDl3Iw0Duv7LKia4uzd2wRLifYr3pbFZQkHmJvvfGs3I1fre27tR1Q0uEzSYGehjL=s60,brave-frontier-heroes,2020-01-17T08:53:54.660191,https://opensea.io/collection/brave-frontier-heroes,,2007,17030,1955,62.25351739265797,true,collections24.md#brave-frontier-heroes
uwucrew,https://lh3.googleusercontent.com/FR1N73TF3BrTeVkGTsl_49ceqi42oUuJV7B5n8VnPZSHBk7K2jkopQgQa7nKBwVHmUYkJvQ1q_2qUqcQVxMYKeyZ5yhBJ-XbaVqS=s120,uwucrew,2021-09-04T23:43:42.356883,https://opensea.io/collection/uwucrew,0.0729,1995,9670,2617,1478.180375,true,collections24.md#uwucrew
Ethermon,https://lh3.googleusercontent.com/u485S1UVF8xufP54ZtynanKbb0KnPllKJQDjg8JESNS7tRYhMEMXkS2Ss7PcxVlh5PT9VlhYsYIJvGMIdy3PcfFazsfGxjCarTCW52U=s120,ethermon,2019-04-26T22:13:09.153813,https://opensea.io/collection/ethermon,0.0001,1994,289783,62962,783.9724462098194,true,collections24.md#ethermon
CryptoBeasts,https://lh3.googleusercontent.com/qIKuVB26U6O5M9EmNZ8jCpH9FzJLEzHcXpLi8NHVx1XYzjISW1AC0EbGJtnQo38_O6415y0Rx0sfzw90lcZsHxbkWVY9mlYF_YJuuA=s120,cryptobeasts-official,2021-06-29T02:45:37.584500,https://opensea.io/collection/cryptobeasts-official,0.035,1970,9500,2633,2438.65,true,collections24.md#cryptobeasts
ChainGuardians,https://lh3.googleusercontent.com/aSW4aRbh6eDU6XZ02Ekom5rbpxlJ5iJf_lXWTjzVbW_5Dm8UzbL4O8aPAD2tzGQxAT1EBbB-Q74TWAAAZ1CG8gjC=s60,chainguardians,2019-07-07T12:27:27.779881,https://opensea.io/collection/chainguardians,,1945,2617,836,1128.1232750000001,true,collections24.md#chainguardians
ALPACADABRAZ,https://lh3.googleusercontent.com/3Lp0Vst9cxJ5YxY5hk5AFNyonTLpHEQMsVo_7pvyBnmxq9f4vn3K1W9eJYH-QuEuOoQQ3zm9yLWAluHZst2xse_CLP1XmOuFEcVD=s120,alpacadabraz,2021-10-22T02:45:57.537932,https://opensea.io/collection/alpacadabraz,0.116,1916,9669,3060,2298.5994757662165,true,collections24.md#alpacadabraz
Borpacasso,https://lh3.googleusercontent.com/IVnu5HJoa7buI1gmbFe_XVAClsJ-iyZ5XYy_ndHAAAxH6OkBfEUL_VADGBvFH7_CcczqjRA3dUnGZuombhsvdG2A1yuFVnD9kpSLLA=s120,borpacasso,2021-09-10T21:08:12.959350,https://opensea.io/collection/borpacasso,0.1188,1914,2250,1207,330.1714285714285,true,collections24.md#borpacasso
Paladin Pandas,https://lh3.googleusercontent.com/UyW8UFGp5PNDo61DS0KV8aofKmzNM-ETwGIzXGO7Zr6IlHdk8KzM3UADGXrtg1T-YqDEujWW3-KApmKAUJcFvTj1UyfQJc7xFUMAvy8=s120,paladin-pandas,2021-09-01T03:17:49.372109,https://opensea.io/collection/paladin-pandas,0.085,1904,9849,3020,1431.13943,true,collections24.md#paladin-pandas
unicornsmoved,https://lh3.googleusercontent.com/ss81aNT6JubdYDkgLg3mHh8uD9KkC-11BRXwHPXITe8Dh3YlpHTgpVEh68ExA926U8d9ggUyjN1tCLJmmS_t6TKgBoUzmgV1QNhLXw=s120,unicornsmoved,2021-09-12T14:04:13.521630,https://opensea.io/collection/unicornsmoved,0.0,1878,6900,2411,0,true,collections24.md#unicornsmoved
FusionApes,https://lh3.googleusercontent.com/ZhMktOA92rnOth7TlcUUW0jUFKCfx_x6xaOssvaoeK0Ua-Mesk_nKHIF7XZeTeU59VhO2dUqbuSBcfvZfy8HJTo17nQwao0X3Okr=s120,fusionape,2021-09-01T19:38:08.555284,https://opensea.io/collection/fusionape,,1857,4201,1747,896.560616,true,collections24.md#fusionapes
RTFKT BONUS ITEMS,https://lh3.googleusercontent.com/GI7544nzneZOLVmngy8gSJYhrLSnPdpfryTw20APrXhVXt3JbqnrHca42YJWlfq9DuDGcQF0SFzj4SyhnSpg19Uj0ABM1pLfJ5_4nA=s120,rtfkt-bonus-items,2021-05-06T02:24:44.517934,https://opensea.io/collection/rtfkt-bonus-items,,1857,24,391,295.12,true,collections24.md#rtfkt-bonus-items
CryptoSpells,https://lh3.googleusercontent.com/EIgORkkPVnFsQ2xKHiS9M3tIDK3SbYYzEHCqubsqkqqe4Q-M_LP7SdHUxyBU5JcfclZIE-JtNzlE01SMmbFZrEo=s60,cryptospells,2019-06-14T09:46:40.613850,https://opensea.io/collection/cryptospells,0.02,1856,17921,1519,1731.6806285714285,true,collections24.md#cryptospells
Fly Frogs,https://lh3.googleusercontent.com/B_45BQX-sZMU2Harg8TwFkofoNreslFI5wHaE3P_uzqSGZOQWRIzUX8FpDeQLFVNC_mtBp5PO5AMeuizBiRqIAhehC7YmIb0hW3UuA=s120,fly-frogs,2021-09-03T07:10:44.640367,https://opensea.io/collection/fly-frogs,0.0275,1856,9999,3940,611.3436214285714,true,collections24.md#fly-frogs
Jadu Jetpack,https://lh3.googleusercontent.com/botVMBI7k_SDUtWg4GspMu-06KnwbVJlCNYKFm_N3OFRQguAMBRS7YKDoRWiI_GRflpxBcKDX_c-iuTA8HHwLcYVOZMx6Ygjwnx0ls0=s120,jadu-jetpack,2021-09-16T18:00:47.521467,https://opensea.io/collection/jadu-jetpack,2.6334,1810,1111,690,2834.1239666666665,true,collections24.md#jadu-jetpack
